date,center_name,attendance_count
2022-12-30,Warrington Community Center,34
2022-12-30,Ammon Community Center,1
2022-12-30,Arlington Community Center,14
2022-12-30,Brookline Community Center,15
2022-12-30,Magee Community Center,20
2022-12-30,Ormsby Community Center,4
2022-12-30,Phillips Community Center,26
2022-12-30,Paulson Community Center,12
2022-12-30,West Penn Community Center,19
2022-12-29,Warrington Community Center,11
2022-12-29,Arlington Community Center,13
2022-12-29,Ammon Community Center,1
2022-12-29,Brookline Community Center,21
2022-12-29,Ormsby Community Center,9
2022-12-29,Magee Community Center,27
2022-12-29,Paulson Community Center,10
2022-12-29,Phillips Community Center,18
2022-12-29,West Penn Community Center,38
2022-12-28,Ammon Community Center,2
2022-12-28,Arlington Community Center,19
2022-12-28,Brookline Community Center,23
2022-12-28,Magee Community Center,47
2022-12-28,Ormsby Community Center,10
2022-12-28,Phillips Community Center,30
2022-12-28,Paulson Community Center,8
2022-12-28,West Penn Community Center,17
2022-12-27,Arlington Community Center,2
2022-12-27,Ammon Community Center,31
2022-12-27,Brookline Community Center,11
2022-12-27,Ormsby Community Center,7
2022-12-27,Magee Community Center,34
2022-12-27,Phillips Community Center,44
2022-12-27,West Penn Community Center,37
2022-12-22,Warrington Community Center,50
2022-12-22,Ammon Community Center,109
2022-12-22,Arlington Community Center,16
2022-12-22,Brookline Community Center,20
2022-12-22,Magee Community Center,48
2022-12-22,Ormsby Community Center,5
2022-12-22,Phillips Community Center,17
2022-12-22,Paulson Community Center,10
2022-12-22,West Penn Community Center,38
2022-12-21,Warrington Community Center,52
2022-12-21,Arlington Community Center,33
2022-12-21,Ammon Community Center,3
2022-12-21,Brookline Community Center,2
2022-12-21,Ormsby Community Center,3
2022-12-21,Magee Community Center,35
2022-12-21,Paulson Community Center,21
2022-12-21,Phillips Community Center,34
2022-12-21,West Penn Community Center,59
2022-12-20,Warrington Community Center,45
2022-12-20,Ammon Community Center,2
2022-12-20,Arlington Community Center,1
2022-12-20,Brookline Community Center,15
2022-12-20,Magee Community Center,34
2022-12-20,Phillips Community Center,25
2022-12-20,Paulson Community Center,25
2022-12-20,West Penn Community Center,46
2022-12-19,Warrington Community Center,41
2022-12-19,Arlington Community Center,5
2022-12-19,Ammon Community Center,57
2022-12-19,Brookline Community Center,3
2022-12-19,Magee Community Center,46
2022-12-19,Ormsby Community Center,10
2022-12-19,Paulson Community Center,17
2022-12-19,Phillips Community Center,44
2022-12-19,West Penn Community Center,51
2022-12-17,Phillips Community Center,3
2022-12-17,West Penn Community Center,112
2022-12-16,Warrington Community Center,34
2022-12-16,Ammon Community Center,1
2022-12-16,Brookline Community Center,6
2022-12-16,Ormsby Community Center,28
2022-12-16,Magee Community Center,35
2022-12-16,Phillips Community Center,37
2022-12-16,Paulson Community Center,21
2022-12-16,West Penn Community Center,36
2022-12-15,Warrington Community Center,54
2022-12-15,Ammon Community Center,56
2022-12-15,Brookline Community Center,19
2022-12-15,Magee Community Center,55
2022-12-15,Ormsby Community Center,13
2022-12-15,Paulson Community Center,14
2022-12-15,Phillips Community Center,47
2022-12-15,West Penn Community Center,90
2022-12-14,Warrington Community Center,63
2022-12-14,Ammon Community Center,1
2022-12-14,Arlington Community Center,32
2022-12-14,Brookline Community Center,12
2022-12-14,Ormsby Community Center,11
2022-12-14,Magee Community Center,33
2022-12-14,Phillips Community Center,36
2022-12-14,Paulson Community Center,17
2022-12-14,West Penn Community Center,47
2022-12-13,Warrington Community Center,52
2022-12-13,Arlington Community Center,4
2022-12-13,Ammon Community Center,3
2022-12-13,Brookline Community Center,10
2022-12-13,Magee Community Center,44
2022-12-13,Ormsby Community Center,14
2022-12-13,Paulson Community Center,24
2022-12-13,Phillips Community Center,16
2022-12-13,West Penn Community Center,66
2022-12-12,Warrington Community Center,48
2022-12-12,Ammon Community Center,36
2022-12-12,Arlington Community Center,11
2022-12-12,Brookline Community Center,5
2022-12-12,Ormsby Community Center,12
2022-12-12,Magee Community Center,46
2022-12-12,Phillips Community Center,30
2022-12-12,Paulson Community Center,9
2022-12-12,West Penn Community Center,59
2022-12-10,Brookline Community Center,6
2022-12-10,Phillips Community Center,5
2022-12-10,West Penn Community Center,93
2022-12-09,Warrington Community Center,52
2022-12-09,Ammon Community Center,26
2022-12-09,Brookline Community Center,21
2022-12-09,Magee Community Center,36
2022-12-09,Ormsby Community Center,20
2022-12-09,Phillips Community Center,43
2022-12-09,Paulson Community Center,20
2022-12-09,West Penn Community Center,58
2022-12-08,Warrington Community Center,54
2022-12-08,Ammon Community Center,1
2022-12-08,Brookline Community Center,37
2022-12-08,Ormsby Community Center,7
2022-12-08,Magee Community Center,48
2022-12-08,Paulson Community Center,14
2022-12-08,Phillips Community Center,30
2022-12-08,West Penn Community Center,39
2022-12-07,Warrington Community Center,59
2022-12-07,Ammon Community Center,12
2022-12-07,Arlington Community Center,27
2022-12-07,Brookline Community Center,36
2022-12-07,Magee Community Center,36
2022-12-07,Ormsby Community Center,9
2022-12-07,Phillips Community Center,46
2022-12-07,Paulson Community Center,20
2022-12-07,West Penn Community Center,56
2022-12-06,Warrington Community Center,45
2022-12-06,Ammon Community Center,3
2022-12-06,Brookline Community Center,36
2022-12-06,Ormsby Community Center,17
2022-12-06,Magee Community Center,45
2022-12-06,Paulson Community Center,21
2022-12-06,Phillips Community Center,49
2022-12-06,West Penn Community Center,61
2022-12-05,Warrington Community Center,42
2022-12-05,Ammon Community Center,30
2022-12-05,Arlington Community Center,7
2022-12-05,Brookline Community Center,30
2022-12-05,Magee Community Center,52
2022-12-05,Ormsby Community Center,9
2022-12-05,Phillips Community Center,32
2022-12-05,Paulson Community Center,18
2022-12-05,West Penn Community Center,42
2022-12-03,Brookline Community Center,2
2022-12-03,Phillips Community Center,13
2022-12-03,West Penn Community Center,112
2022-12-02,Warrington Community Center,36
2022-12-02,Ammon Community Center,22
2022-12-02,Brookline Community Center,23
2022-12-02,Ormsby Community Center,13
2022-12-02,Magee Community Center,28
2022-12-02,Phillips Community Center,39
2022-12-02,Paulson Community Center,19
2022-12-02,West Penn Community Center,40
2022-12-01,Warrington Community Center,68
2022-12-01,Ammon Community Center,3
2022-12-01,Arlington Community Center,1
2022-12-01,Brookline Community Center,38
2022-12-01,Magee Community Center,50
2022-12-01,Ormsby Community Center,8
2022-12-01,Paulson Community Center,17
2022-12-01,Phillips Community Center,20
2022-12-01,West Penn Community Center,78
2022-11-30,Warrington Community Center,53
2022-11-30,Arlington Community Center,25
2022-11-30,Ammon Community Center,26
2022-11-30,Brookline Community Center,26
2022-11-30,Ormsby Community Center,14
2022-11-30,Magee Community Center,27
2022-11-30,Phillips Community Center,24
2022-11-30,Paulson Community Center,15
2022-11-30,West Penn Community Center,62
2022-11-29,Warrington Community Center,61
2022-11-29,Brookline Community Center,26
2022-11-29,Magee Community Center,64
2022-11-29,Ormsby Community Center,10
2022-11-29,Paulson Community Center,15
2022-11-29,Phillips Community Center,53
2022-11-29,West Penn Community Center,37
2022-11-28,Warrington Community Center,38
2022-11-28,Arlington Community Center,12
2022-11-28,Brookline Community Center,30
2022-11-28,Ormsby Community Center,14
2022-11-28,Magee Community Center,39
2022-11-28,Phillips Community Center,27
2022-11-28,Paulson Community Center,5
2022-11-28,West Penn Community Center,58
2022-11-23,Warrington Community Center,70
2022-11-23,Arlington Community Center,1
2022-11-23,Ammon Community Center,26
2022-11-23,Brookline Community Center,24
2022-11-23,Magee Community Center,19
2022-11-23,Ormsby Community Center,6
2022-11-23,Paulson Community Center,15
2022-11-23,Phillips Community Center,31
2022-11-23,West Penn Community Center,37
2022-11-22,Warrington Community Center,62
2022-11-22,Ammon Community Center,22
2022-11-22,Brookline Community Center,25
2022-11-22,Jefferson Community Center,21
2022-11-22,Ormsby Community Center,19
2022-11-22,Magee Community Center,50
2022-11-22,Phillips Community Center,48
2022-11-22,Paulson Community Center,20
2022-11-22,West Penn Community Center,113
2022-11-21,Warrington Community Center,58
2022-11-21,Ammon Community Center,13
2022-11-21,Arlington Community Center,6
2022-11-21,Jefferson Community Center,29
2022-11-21,Brookline Community Center,28
2022-11-21,Magee Community Center,37
2022-11-21,Ormsby Community Center,8
2022-11-21,Paulson Community Center,13
2022-11-21,Phillips Community Center,27
2022-11-21,West Penn Community Center,56
2022-11-19,Brookline Community Center,4
2022-11-19,Phillips Community Center,16
2022-11-19,West Penn Community Center,14
2022-11-18,Warrington Community Center,20
2022-11-18,Ammon Community Center,1
2022-11-18,Arlington Community Center,17
2022-11-18,Brookline Community Center,15
2022-11-18,Jefferson Community Center,13
2022-11-18,Ormsby Community Center,15
2022-11-18,Magee Community Center,24
2022-11-18,Phillips Community Center,52
2022-11-18,Paulson Community Center,19
2022-11-18,West Penn Community Center,44
2022-11-17,Warrington Community Center,62
2022-11-17,Arlington Community Center,1
2022-11-17,Jefferson Community Center,1
2022-11-17,Brookline Community Center,40
2022-11-17,Magee Community Center,69
2022-11-17,Ormsby Community Center,10
2022-11-17,Paulson Community Center,19
2022-11-17,Phillips Community Center,37
2022-11-17,West Penn Community Center,145
2022-11-16,Warrington Community Center,42
2022-11-16,Arlington Community Center,52
2022-11-16,Ammon Community Center,4
2022-11-16,Brookline Community Center,33
2022-11-16,Ormsby Community Center,15
2022-11-16,Magee Community Center,21
2022-11-16,Phillips Community Center,51
2022-11-16,Paulson Community Center,15
2022-11-16,West Penn Community Center,2
2022-11-15,Warrington Community Center,57
2022-11-15,Ammon Community Center,2
2022-11-15,Brookline Community Center,31
2022-11-15,Magee Community Center,25
2022-11-15,Ormsby Community Center,10
2022-11-15,Paulson Community Center,16
2022-11-15,Phillips Community Center,54
2022-11-15,West Penn Community Center,200
2022-11-14,Warrington Community Center,66
2022-11-14,Ammon Community Center,4
2022-11-14,Arlington Community Center,15
2022-11-14,Brookline Community Center,27
2022-11-14,Ormsby Community Center,12
2022-11-14,Magee Community Center,41
2022-11-14,Phillips Community Center,41
2022-11-14,Paulson Community Center,12
2022-11-14,West Penn Community Center,61
2022-11-12,Phillips Community Center,5
2022-11-10,Warrington Community Center,84
2022-11-10,Arlington Community Center,2
2022-11-10,Ammon Community Center,3
2022-11-10,Brookline Community Center,48
2022-11-10,Ormsby Community Center,10
2022-11-10,Phillips Community Center,30
2022-11-10,Paulson Community Center,14
2022-11-10,West Penn Community Center,101
2022-11-09,Warrington Community Center,53
2022-11-09,Ammon Community Center,9
2022-11-09,Arlington Community Center,24
2022-11-09,Brookline Community Center,33
2022-11-09,Ormsby Community Center,15
2022-11-09,Magee Community Center,23
2022-11-09,Paulson Community Center,14
2022-11-09,Phillips Community Center,42
2022-11-09,West Penn Community Center,42
2022-11-08,Ammon Community Center,5
2022-11-08,Magee Community Center,30
2022-11-08,Ormsby Community Center,16
2022-11-08,Phillips Community Center,1
2022-11-07,Warrington Community Center,59
2022-11-07,Ammon Community Center,3
2022-11-07,Arlington Community Center,10
2022-11-07,Brookline Community Center,25
2022-11-07,Jefferson Community Center,16
2022-11-07,Ormsby Community Center,11
2022-11-07,Magee Community Center,29
2022-11-07,Phillips Community Center,50
2022-11-07,Paulson Community Center,17
