Neighborhood,Total Population,Population Density (Persons Per Square Mile Of Land),Total Population Under Age 18,Total Population Age 65 And Over,Percentage Of Population Under Age 18,Percentage Of Population Age 65 And Over,Population Black Alone,Population Asian Alone,Percentage Of Population Black Alone,Percentage Of Population Asian Alone,Population Hispanic Or Latino,Unnamed 0,Percentage Of Housing Units That Are Vacant,Percentage Of Occupied Housing Units That Are Renter‐Occupied
Squirrel Hill South,15110,5644,2450,2563,16.2,17.0,487,1723,3.2,11.4,488,3.2,5.4,56.4
Shadyside,13915,15103,910,1469,6.5,10.6,751,2764,5.4,19.9,458,3.3,6.7,74.0
Brookline,13214,6337,2548,2017,19.3,15.3,608,152,4.6,1.2,211,1.6,6.5,26.0
Squirrel Hill North,11363,9293,1434,1313,12.6,11.6,368,1935,3.2,17.0,469,4.1,7.0,43.0
North Oakland,10551,21150,149,1135,1.4,10.8,857,1607,8.1,15.2,284,2.7,5.5,75.2
Carrick,10113,6048,2064,1521,20.4,15.0,972,113,9.6,1.1,166,1.6,11.8,37.5
Mount Washington,8799,7638,1053,1270,12.0,14.4,906,63,10.3,0.7,140,1.6,13.7,52.4
Bloomfield,8442,12042,806,1042,9.5,12.3,739,542,8.8,6.4,219,2.6,11.0,66.2
Beechview,7974,5447,1518,1206,19.0,15.1,963,125,12.1,1.6,444,5.6,10.7,39.6
Greenfield,7294,9398,1114,1119,15.3,15.3,320,312,4.4,4.3,209,2.9,8.6,38.2
Brighton Heights,7247,6438,1484,1197,20.5,16.5,1583,47,21.8,0.6,115,1.6,9.8,34.8
Bluff,6600,19847,127,108,1.9,1.6,2057,73,31.2,1.1,161,2.4,27.3,65.6
Southside Flats,6597,7223,296,779,4.5,11.8,196,143,3.0,2.2,162,2.5,12.7,66.8
Highland Park,6395,5729,1189,763,18.6,11.9,1684,218,26.3,3.4,188,2.9,8.3,49.8
Central Oakland,6086,21742,91,229,1.5,3.8,321,518,5.3,8.5,157,2.6,5.8,91.6
Marshall-Shadeland,6043,4866,976,513,16.2,8.5,2618,15,43.3,0.2,176,2.9,18.9,39.7
East Liberty,5869,10152,1086,886,18.5,15.1,3976,190,67.7,3.2,142,2.4,13.2,83.9
Point Breeze,5315,5296,1074,750,20.2,14.1,247,178,4.6,3.3,137,2.6,4.9,28.4
Sheraden,5299,5946,1372,637,25.9,12.0,2186,128,41.3,2.4,84,1.6,15.0,41.2
Lincoln-Lemington-Belmar,4883,2737,1083,1035,22.2,21.2,3876,83,79.4,1.7,59,1.2,20.3,50.1
Stanton Heights,4601,6202,864,852,18.8,18.5,1843,40,40.1,0.9,66,1.4,5.7,19.4
Central Lawrenceville,4482,4660,570,955,12.7,21.3,422,78,9.4,1.7,78,1.7,14.1,53.4
Southside Slopes,4423,6156,519,546,11.7,12.3,316,42,7.1,0.9,92,2.1,16.5,47.2
Hazelwood,4317,2722,1044,619,24.2,14.3,1771,66,41.0,1.5,87,2.0,20.2,45.1
Perry South,4145,4523,1068,611,25.8,14.7,2849,21,68.7,0.5,44,1.1,23.5,53.8
Banksville,4144,4257,530,806,12.8,19.4,169,211,4.1,5.1,56,1.4,4.6,47.8
Terrace Village,4062,9084,857,313,21.1,7.7,2839,93,69.9,2.3,46,1.1,15.3,91.1
Perry North,4050,3269,896,461,22.1,11.4,1310,36,32.3,0.9,71,1.8,13.0,35.2
Crafton Heights,3814,5076,985,533,25.8,14.0,1093,28,28.7,0.7,58,1.5,11.5,37.1
Knoxville,3747,12512,1110,384,29.6,10.2,1930,33,51.5,0.9,49,1.3,21.4,47.5
Garfield,3675,8034,1031,465,28.1,12.7,2943,97,80.1,2.6,51,1.4,23.1,54.9
Overbrook,3644,4352,621,706,17.0,19.4,129,33,3.5,0.9,39,1.1,7.1,19.1
Central Business District,3629,5597,68,434,1.9,12.0,580,171,16.0,4.7,119,3.3,18.6,82.6
Morningside,3346,8976,598,513,17.9,15.3,552,33,16.5,1.0,52,1.6,7.1,35.0
Homewood North,3280,7581,964,431,29.4,13.1,3060,7,93.3,0.2,61,1.9,28.4,53.3
Lincoln Place,3227,3288,564,560,17.5,17.4,48,7,1.5,0.2,19,0.6,7.3,15.9
East Hills,3169,5847,1025,470,32.3,14.8,2953,14,93.2,0.4,37,1.2,13.4,56.1
Westwood,3066,4438,566,554,18.5,18.1,250,174,8.2,5.7,44,1.4,6.2,30.4
South Oakland,2969,5821,210,318,7.1,10.7,633,183,21.3,6.2,86,2.9,10.1,64.8
Central Northside,2923,11255,424,377,14.5,12.9,1347,23,46.1,0.8,80,2.7,19.5,64.5
Troy Hill,2714,5736,483,331,17.8,12.2,331,108,12.2,4.0,50,1.8,16.1,54.0
Upper Lawrenceville,2669,6584,605,264,22.7,9.9,751,37,28.1,1.4,83,3.1,19.0,54.9
Spring Hill-City View,2648,4165,632,447,23.9,16.9,754,18,28.5,0.7,42,1.6,12.5,42.0
Allentown,2500,8368,660,244,26.4,9.8,878,1,35.1,0.0,58,2.3,20.0,56.8
Duquesne Heights,2425,3915,258,408,10.6,16.8,69,53,2.8,2.2,30,1.2,11.3,41.7
Elliott,2381,3880,543,306,22.8,12.9,704,16,29.6,0.7,37,1.6,19.1,42.5
Homewood South,2344,5949,648,462,27.6,19.7,2220,7,94.7,0.3,21,0.9,28.4,61.7
Lower Lawrenceville,2341,5417,350,305,15.0,13.0,546,59,23.3,2.5,30,1.3,14.9,62.0
Crawford-Roberts,2256,8752,463,469,20.5,20.8,1861,24,82.5,1.1,32,1.4,9.1,77.2
East Allegheny,2136,9079,268,291,12.5,13.6,643,23,30.1,1.1,86,4.0,20.6,71.2
Manchester,2130,7629,460,294,21.6,13.8,1707,13,80.1,0.6,29,1.4,21.5,57.1
Upper Hill,2057,6607,351,512,17.1,24.9,1593,21,77.4,1.0,29,1.4,18.1,47.7
Point Breeze North,2054,7040,330,282,16.1,13.7,1137,64,55.4,3.1,69,3.4,11.0,64.5
Beltzhoover,1925,4659,536,329,27.8,17.1,1604,3,83.3,0.2,39,2.0,26.5,40.9
Arlington,1869,3793,424,215,22.7,11.5,371,3,19.9,0.2,27,1.4,13.4,32.5
Friendship,1785,16808,184,147,10.3,8.2,362,226,20.3,12.7,76,4.3,7.9,85.3
West Oakland,1770,16217,52,122,2.9,6.9,346,153,19.5,8.6,50,2.8,15.0,49.7
Larimer,1728,3882,409,341,23.7,19.7,1483,20,85.8,1.2,32,1.9,25.8,54.8
Middle Hill,1707,5594,298,367,17.5,21.5,1610,2,94.3,0.1,15,0.9,17.9,69.7
Windgap,1369,3287,236,285,17.2,20.8,476,7,34.8,0.5,16,1.2,6.4,20.2
Swisshelm Park,1361,2874,276,244,20.3,17.9,57,43,4.2,3.2,31,2.3,3.7,14.5
Fineview,1285,5171,310,141,24.1,11.0,665,1,51.8,0.1,25,1.9,19.5,54.1
Polish Hill,1274,5018,155,204,12.2,16.0,155,16,12.2,1.3,28,2.2,17.9,49.9
Northview Heights,1214,3872,515,158,42.4,13.0,1099,1,90.5,0.1,25,2.1,36.4,96.3
Bedford Dwellings,1202,6729,355,179,29.5,14.9,1106,3,92.0,0.2,19,1.6,12.7,91.9
Summer Hill,1051,2573,201,192,19.1,18.3,160,0,15.2,0.0,11,1.0,5.7,19.5
Oakwood,1027,4069,161,223,15.7,21.7,60,11,5.8,1.1,11,1.1,4.6,52.1
Fairywood,1002,1030,109,54,10.9,5.4,284,18,28.3,1.8,48,4.8,13.9,82.2
New Homestead,990,1252,201,181,20.3,18.3,88,5,8.9,0.5,17,1.7,6.1,9.2
Allegheny Center,933,4509,164,165,17.6,17.7,453,56,48.6,6.0,27,2.9,48.5,91.7
Regent Square,928,4732,151,136,16.3,14.7,17,29,1.8,3.1,23,2.5,4.8,28.5
Spring Garden,884,3356,167,124,18.9,14.0,134,8,15.2,0.9,20,2.3,25.4,36.9
Homewood West,818,4113,186,201,22.7,24.6,782,1,95.6,0.1,7,0.9,22.2,62.1
Bon Air,808,2558,138,152,17.1,18.8,35,12,4.3,1.5,7,0.9,5.9,12.9
California-Kirkbride,761,3518,239,73,31.4,9.6,578,0,76.0,0.0,5,0.7,20.6,67.3
Glen Hazel,716,1548,148,229,20.7,32.0,488,0,68.2,0.0,7,1.0,5.2,91.5
Strip District,616,1001,49,44,8.0,7.1,96,39,15.6,6.3,10,1.6,14.8,90.8
East Carnegie,570,1316,89,66,15.6,11.6,92,3,16.1,0.5,25,4.4,10.8,42.4
Mt. Oliver,509,4913,133,54,26.1,10.6,192,2,37.7,0.4,9,1.8,16.4,34.5
Ridgemont,483,1347,92,80,19.0,16.6,31,6,6.4,1.2,7,1.4,4.1,10.5
Chartiers City,477,3604,72,136,15.1,28.5,325,0,68.1,0.0,2,0.4,9.7,17.4
Allegheny West,462,3196,36,45,7.8,9.7,84,7,18.2,1.5,13,2.8,25.1,66.9
Hays,362,209,65,62,18.0,17.1,26,6,7.2,1.7,13,3.6,18.2,34.3
North Shore,303,1009,8,15,2.6,5.0,14,17,4.6,5.6,11,3.6,14.5,98.5
Esplen,301,1293,74,31,24.6,10.3,90,2,29.9,0.7,4,1.3,21.1,40.5
West End,254,1284,51,24,20.1,9.4,95,2,37.4,0.8,1,0.4,25.5,75.6
Arlington Heights,244,2148,73,25,29.9,10.2,205,0,84.0,0.0,2,0.8,8.8,96.3
St. Clair,209,670,52,29,24.9,13.9,98,0,46.9,0.0,1,0.5,49.7,31.3
South Shore,19,87,1,1,5.3,5.3,0,0,0.0,0.0,0,0.0,33.3,80.0
Chateau,11,29,0,2,0.0,18.2,3,0,27.3,0.0,0,0.0,0.0,50.0
